"ORIGEN","DESTINO","CONCESIÓN","OPERADOR","TIPO","OBSERVACIONES"
"Astudillo","Valbuena De Pisuerga","AECL-049","Linecar, S.A.","Regular",NA
"Valbuena De Pisuerga","Frómista","AECL-049","Linecar, S.A.","Regular",NA
"San Pedro","Guardo","VACL-009","Abagón, S.L.","Regular",NA
"Villanueva De Arriba","Santibáñez De La Peña","VACL-009","Abagón, S.L.","Regular",NA
"Villaverde De La Peña","Guardo","VACL-009","Abagón, S.L.","Regular","Martes"
"Villaverde De La Peña","Guardo","VACL-009","Abagón, S.L.","Regular","Viernes"
"Villaverde De La Peña","Santibáñez De La Peña","VACL-009","Abagón, S.L.","Regular",NA
"Cuevas","Herrera","AECL-014","Mª Teresita del Niño Jesús Ruíz Rodríguez","Regular",NA
"La Rebolleda","Herrera","AECL-013","Negrete Bus, S.L.","Regular","Lunes"
"La Rebolleda","Herrera","AECL-013","Negrete Bus, S.L.","Regular","Miércoles y Jueves"
"Mombuey","Asturianos","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Fuentesaúco","Villaescusa","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"San Miguel De La Ribera","Fuentesaúco","VACL-065","Autocares Siga Hermanos, S.L.","Regular",NA
"Mancera De Arriba","Ávila","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Mancera De Arriba","Muñico","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Rinconada","Muñico","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Valdecasa","Muñico","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Ciria","Ólvega","VACL-006","Sanz Tierno Autocares, S.L.","Regular",NA
"Pinilla Del Campo","Ólvega","VACL-006","Sanz Tierno Autocares, S.L.","Regular",NA
"Abia De Las Torres","Osorno","AECL-044","Guerrero Bus, S.L.","Regular",NA
"Palacios De Río Pisuerga","Osorno","AECL-044","Guerrero Bus, S.L.","Regular",NA
"Moncabril","Puebla De Sanabria","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Murias","Puebla De Sanabria","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Lagunilla De La Vega","Saldaña","VACL-003","Autocares Tejedor H., S.L.","Regular",NA
"Pino Del Río","Saldaña","VACL-009","Abagón, S.L.","Regular",NA
"San Andrés De La Regla","Saldaña","VACL-003","Autocares Tejedor H., S.L.","Regular",NA
"San Llorente Del Páramo","Saldaña","VACL-003","Autocares Tejedor H., S.L.","Regular",NA
"Villaproviano","Saldaña","VACL-009","Abagón, S.L.","Regular",NA
"Villarrobejo","Saldaña","VACL-003","Autocares Tejedor H., S.L.","Regular",NA
"Quintanilla De Tres Barrios","San Esteban De Gormaz","AECL-082","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Muriel Viejo","San Leonardo De Yagüe","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Navaleno","San Leonardo De Yagüe","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Rabanera Del Pinar","San Leonardo De Yagüe","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Bercimuelle","San Pedro Del Arroyo","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Muñoyerro","San Pedro Del Arroyo","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Narros Del Castillo","San Pedro Del Arroyo","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Badilla","Bermillo De Sayago","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Bermillo De Sayago","Villadepera","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Bermillo De Sayago","Villamor De Cadozos","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Fadón","Bermillo De Sayago","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Figueruela De Sayago","Bermillo De Sayago","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Fornillos De Fermoselle","Bermillo De Sayago","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Frontera Portugal","Bermillo De Sayago","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Gamones","Bermillo De Sayago","VACL-127","Calles y Vara Services, S.L.","Regular",NA
"Moral De Sayago","Bermillo De Sayago","VACL-127","Calles y Vara Services, S.L.","Regular",NA
"Moraleja De Sayago","Bermillo De Sayago","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Salce","Bermillo De Sayago","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Villadepera","Bermillo De Sayago","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Abioncillo De Calatañazor","Soria","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Cascajosa","Soria","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Estepa De San Juan","Soria","VACL-005","Sanz Tierno Autocares, S.L.","Regular",NA
"La Póveda De Soria","Soria","VACL-005","Sanz Tierno Autocares, S.L.","Regular",NA
"Nafría La Llana","Soria","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Riotuerto","Soria","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Santervás De La Sierra","Soria","VACL-005","Sanz Tierno Autocares, S.L.","Regular",NA
"Soria","Cabrejas Del Pinar","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Torrearévalo","Soria","VACL-005","Sanz Tierno Autocares, S.L.","Regular",NA
"Urbanización Las Camaretas","Soria","VACL-031","Transportes Hernández Palacio,
S.A. (THERPASA)","Regular",NA
"Vilviestre De Los Nabos","Soria","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Escober De Tábara","Tábara","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"San Pedro","Tábara","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Puente De Tera","Camarzana De Tera","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"San Pedro","Camarzana De Tera","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Villanueva","Camarzana De Tera","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Convento De Duruelo","Fontiveros","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Herreros De Suso","Fontiveros","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Abia De Las Torres","Villasarracino","AECL-044","Guerrero Bus, S.L.","Regular",NA
"San Nicolás Del Real Camino","Villada","VACL-003","Autocares Tejedor H., S.L.","Regular",NA
"Alcubilla Del Marqués","El Burgo De Osma","VACL-031","Transportes Hernández Palacio,
S.A. (THERPASA)","Regular",NA
"Cotanes Del Monte","Villalpando","AECL-102","Herederos de A. Tamame, S.A.","Regular",NA
"Quintanilla Del Monte","Villalpando","AECL-102","Herederos de A. Tamame, S.A.","Regular",NA
"Husillos","Palencia","AECL-045","Joaquín Gómez e Hijos, S.A.","Regular",NA
"Alba De Los Cardaños","Guardo","AECL-046","Linecar, S.A.","Regular",NA
"Barriosuso","Saldaña","AECL-054","Estébanez Aja, S.A.","Regular",NA
"Tabanera De Valdavia","Saldaña","AECL-054","Estébanez Aja, S.A.","Regular",NA
"Cobos De Cerrato","Quintana Del Puente","AECL-058","Autocares Herrero, S.L.","Regular",NA
"Villamediana","Palencia","AECL-060","Linecar, S.A.","Regular",NA
"Villamediana","Torquemada","AECL-060","Linecar, S.A.","Regular",NA
"Puebla De San Medel","Fuentes De Béjar","AECL-071","Pedro García García","Regular",NA
"Puebla De San Medel","Guijuelo","AECL-071","Pedro García García","Regular",NA
"Herguijuela De Ciudad Rodrigo","Ciudad Rodrigo","AECL-074","J.J. Martín Gallego, S.L.","Regular",NA
"Armuña","Segovia","AECL-079","Linecar, S.A.","Regular",NA
"Espejón","San Leonardo De Yagüe","AECL-083","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Espejón","San Leonardo De Yagüe Ii","AECL-083","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Castillejo De Robledo","Langa De Duero","AECL-084","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Castilruiz","Soria","AECL-085","Serafín Saínz Ruíz","Regular","por Muro"
"San Felices","Soria","AECL-085","Serafín Saínz Ruíz","Regular",NA
"Cigudosa","Soria","AECL-085","Serafín Saínz Ruíz","Regular",NA
"Santervás Del Burgo","El Burgo De Osma","AECL-088","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Fuencaliente Del Burgo","San Esteban De Gormaz","AECL-088","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Matasejún","Soria","AECL-089","Jesús Monge Álvarez","Regular",NA
"Aylagas","El Burgo De Osma","AECL-090","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Espeja De San Marcelino","El Burgo De Osma","AECL-091","Hijos de Ángel Arribas, S.L.U.","Regular","por Rejas de Ucero"
"Espeja De San Marcelino","San Leonardo De Yagüe","AECL-091","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Bretún","Soria","AECL-092","Dionisio Revilla Jiménez","Regular",NA
"Matamala De Almazán","Almazán","AECL-093","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Fresneda De La Sierra","Burgos","VACL-001","Autocares Castilla y León, S.A.U.","Regular",NA
"Salamanca","Zamora","VACL-014","Zamora - Salamanca, S.A.","Regular","directo"
"Salamanca","Zamora","VACL-014","Zamora - Salamanca, S.A.","Regular",NA
"Villarino","Salamanca","VACL-018","Ancebus, S.L.U.","Regular",NA
"Villar De Samaniego","Monleras","VACL-018","Ancebus, S.L.U.","Regular",NA
"Cervera De Pisuerga","Aguilar De Campoo","VACL-019","Autobuses del Pisuerga, S.L.","Regular",NA
"Campillo De Salvatierra","Salamanca","VACL-022","Adojaju, S.L.","Regular",NA
"Palencia","Villamuriel De Cerrato","VACL-025","La Regional Vallisoletana, S.A.","Regular","Ruta A"
"Palencia","Palencia","VACL-025","La Regional Vallisoletana, S.A.","Regular","Ruta A"
"Villamuriel De Cerrato","Palencia","VACL-025","La Regional Vallisoletana, S.A.","Regular","Ruta A"
"Palencia","Villamuriel De Cerrato","VACL-025","La Regional Vallisoletana, S.A.","Regular","Ruta B"
"Palencia","Palencia","VACL-025","La Regional Vallisoletana, S.A.","Regular","Ruta B"
"Villamuriel De Cerrato","Palencia","VACL-025","La Regional Vallisoletana, S.A.","Regular","Ruta B"
"Zamora","Miranda De Ebro","VACL-027","Autocares Castilla y León, S.A.U.","Regular",NA
"Fuentes De Oñoro","Salamanca","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Ciudad Rodrigo","Salamanca","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Villavieja De Yeltes","Salamanca","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Ávila","Serranillos","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular","por Villanueva de Ávila"
"Ávila","Serranillos","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular","por Puente Morisco"
"Ávila","Navaluenga","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Hoyocasero","San Juan De La Nava","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Canalejas De Peñafiel","Peñafiel","VACL-040","Autocares de las Heras, S.L.","Regular",NA
"Castrillo De Duero","Peñafiel","VACL-040","Autocares de las Heras, S.L.","Regular",NA
"Langayo","Peñafiel","VACL-040","Autocares de las Heras, S.L.","Regular",NA
"Aranda De Duero","Valladolid","VACL-040","Autocares de las Heras, S.L.","Regular","por Roa"
"Aranda De Duero","Valladolid","VACL-040","Autocares de las Heras, S.L.","Regular",NA
"Peñafiel","Valladolid","VACL-040","Autocares de las Heras, S.L.","Regular","por Pesquera"
"Peñafiel","Valladolid","VACL-040","Autocares de las Heras, S.L.","Regular","por Villabáñez"
"Peñafiel","Valladolid","VACL-040","Autocares de las Heras, S.L.","Regular",NA
"Salamanca","Topas","VACL-046","Transportes La Armuña, S.L.","Regular","por la autovía A-66"
"Topas","Salamanca","VACL-046","Transportes La Armuña, S.L.","Regular",NA
"Pitiegua","Salamanca","VACL-046","Transportes La Armuña, S.L.","Regular","por Cabezabellosa"
"Salamanca","Valladolid","VACL-052","Auto Res, S.L.","Regular",NA
"Salamanca","Valladolid","VACL-052","Auto Res, S.L.","Regular","servicio expres"
"Morales","Zamora","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Fontiveros","Arévalo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Fuente El Sol","Arévalo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Palacios","Arévalo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Íscar","Valladolid","VACL-057","Empresa Cabrero, S.A.","Regular","por Mojados, Boecillo y Laguna"
"Íscar","Valladolid","VACL-057","Empresa Cabrero, S.A.","Regular","por Pedrajas de San Esteban y Alcazarén"
"Mojados","Valladolid","VACL-057","Empresa Cabrero, S.A.","Regular","por Laguna de Duero"
"Villar De Ciervo","Ciudad Rodrigo","VACL-060","Ancebus, S.L.U.","Regular",NA
"Puerto Seguro","Ciudad Rodrigo","VACL-060","Ancebus, S.L.U.","Regular",NA
"Garcibuey","Salamanca","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"Tamames","Salamanca","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
